Startup,Sector,Business model,Employee count 2Q 2023,Employment taxes 2Q 2023,Turnover 2Q 2023,Year founded
 itrays OÜ,Consumer products and services,"B2B, B2B2C",3,€ 9.9K,€ 49.7K,2020
 Retail Robotics ...,Advanced Manufacturing & Industry,B2B2C,1,€ 9.7K,€ 74.7K,2022
 Dotty,Consumer products and services,"B2B, B2C",-,€ 9.7K,€ 34K,2021
 Co-one,Business software & HR,B2B,1,€ 9.7K,€ 22.2K,2021
 Leadfinder,Business software & HR,B2B,4,€ 9.6K,€ 69.7K,2020
 Wonny Apps,Consumer products and services,B2C,-,€ 9.6K,€ 598K,2021
 TutorId,EdTech,B2C,2,€ 9.6K,€ 276,2015
 Excipio,Business software & HR,-,1,€ 9.5K,€ 59.1K,2012
 POINTSHIP,TravelTech,"C2C, B2B2C",1,€ 9.5K,€ 113.1K,2017
 Merkuur OÜ / Mob...,EdTech,"B2B, B2G, B2B2C",6,€ 9.3K,€ 40.9K,2016
 Klovy,TravelTech,-,2,€ 9.3K,€ 50K,2013
 Digital Wedding!,Consumer products and services,"B2G, B2C",2,€ 9.3K,€ 42.6K,2019
 Videolevels OÜ,Consumer products and services,B2B,4,€ 9.3K,€ 36.4K,2016
 Bercman Technolo...,CleanTech,"B2B, B2G",1,€ 9.2K,€ 43.8K,2016
 Koosmeiega,Consumer products and services,"B2B, C2C, B2C",7,€ 9.2K,€ 35.7K,2021
 Woodpecker Syste...,Advanced Manufacturing & Industry,B2B,2,€ 8.5K,€ 54.1K,2015
 reWiLD,CleanTech,"B2B, B2G",6,€ 8.4K,€ 54.2K,2013
 OPTIMO Robotics,Advanced Manufacturing & Industry,B2B,6,€ 8.2K,€ 71K,2020
 CRESPECT,Business software & HR,B2B,1,€ 8.2K,€ 15.8K,2022
 Snacka!,Communication,"B2B, B2C, B2B2C",1,€ 8.1K,€ 28.2K,2021
 Apptastic,AdTech & Creative Tech,B2B,-,€ 8K,€ 143.4K,2019
 Trigon,FinTech,B2B,2,€ 7.9K,€ 54.8K,2020
 Geneto,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,€ 7.9K,€ 24.2K,2016
 Moning,FinTech,B2C,1,€ 7.8K,€ 106.7K,2018
 Zubax Robotics O...,SpaceTech,"B2B, B2G, B2B2C",3,€ 7.6K,€ 124.5K,2015
 RHOMTRIP,TravelTech,"B2B, B2G, B2C, B2B2C",2,€ 7.6K,€ 321.9K,2018
 Eat Beat,AgTech & FoodTech,"B2B, B2C",1,€ 7.6K,-,2020
 Navicup,TravelTech,"B2G, B2B2C",3,€ 7.3K,€ 43.8K,2019
 Quppy,FinTech,B2B2C,2,€ 7.2K,€ 27.1K,2018
 Kookon,Consumer products and services,-,2,€ 7.1K,€ 244.2K,2016
 Meet Future,AgTech & FoodTech,"B2C, B2B2C",5,€ 7K,-,2021
 Iffent,PropTech & Construction,B2B,1,€ 7K,€ 985,2019
 Flowbase,Advanced Manufacturing & Industry,B2B,3,€ 6.9K,€ 16.7K,2018
 PROSW Analytics,Business software & HR,B2B,1,€ 6.8K,€ 184.5K,2022
 Futugrid,CleanTech,"B2B, B2G, B2C",2,€ 6.8K,-,2019
 The Naturist,AgTech & FoodTech,"B2B, B2C, B2B2C",4,€ 6.8K,€ 19.4K,2022
 Loti Digital,CyberTech,"B2B, B2G, B2B2C",2,€ 6.7K,€ 1K,2020
 Fanclear,FinTech,"B2B, B2C, B2B2C",1,€ 6.7K,€ 17.1K,2020
 CAV Solutions,CyberTech,"B2B, B2B2C",2,€ 6.7K,€ 12.8K,2021
 Triumf Health,"HealthTech, Life sciences & Wellness",B2B,3,€ 6.7K,€ 744,2018
 ContentQuo,Business software & HR,"B2B, B2G",1,€ 6.6K,€ 80.4K,2015
 Adovinci,AdTech & Creative Tech,B2B,1,€ 6.6K,€ 5.7K,2017
 LiTech,Business software & HR,B2B,5,€ 6.6K,€ 31.7K,2018
 AVAR One,Consumer products and services,B2B,2,€ 6.6K,€ 2.7K,2017
 Tradytics,FinTech,B2C,1,€ 6.5K,-,2021
 NEURISIUM,Advanced Manufacturing & Industry,B2B,1,€ 6.5K,€ 68.6K,2017
 Power Algae,AgTech & FoodTech,"B2B, B2B2C",4,€ 6.5K,-,2013
 guavaHR,Communication,B2B,1,€ 6.3K,€ 46.1K,2018
 Reinvest24,FinTech,"B2B, B2C",1,€ 6.1K,€ 88.5K,2017
 Bildly OÜ,PropTech & Construction,B2B,2,€ 6.1K,€ 677,2022
 Basaar,AdTech & Creative Tech,C2C,5,€ 6.1K,€ 35.8K,2013
 Exscudo OU,FinTech,"B2B, B2C",2,€ 6.1K,€ 65.5K,2016
 Appkeep,Business software & HR,B2B,1,€ 6.1K,€ 87.5K,2016
 Bilance,FinTech,B2C,4,€ 6K,-,2019
 Skudo OU,CyberTech,"B2B, B2C, B2B2C",2,€ 6K,€ 4.2K,2019
 Folderit DMS,Business software & HR,B2B,1,€ 6K,€ 56.8K,2014
 RingStone,Business software & HR,B2B,1,€ 5.9K,€ 12.9K,2020
 Onde,Transportation & Logistics,B2B,2,€ 5.8K,€ 2M,2018
 Lennuabi,TravelTech,B2C,3,€ 5.8K,€ 72K,2016
 YESTER,Business software & HR,B2B,3,€ 5.7K,€ 43.6K,2020
 Menken Trials,"HealthTech, Life sciences & Wellness",B2B,3,€ 5.6K,€ 6.8K,2021
 Energiaoksjon,Business software & HR,"B2B, B2G",1,€ 5.6K,€ 205.1K,2018
 GDPR Register,Business software & HR,B2B,1,€ 5.6K,€ 28.2K,2018
 JxBrowser,Business software & HR,B2B,3,€ 5.5K,€ 2.9M,2016
 Polkadex,FinTech,B2C,3,€ 5.4K,€ 304.5K,2020
 AdCatch,AdTech & Creative Tech,"B2B, B2B2C",2,€ 5.4K,€ 18.9K,2022
 ZEETRANCE,Transportation & Logistics,"B2B, B2B2C",2,€ 5.4K,€ 412.2K,2018
 Uplify,AdTech & Creative Tech,B2B2C,2,€ 5.1K,€ 46.2K,2020
 BookSwap,Consumer products and services,"C2C, B2B2C",3,€ 5K,€ 26.5K,2016
 VideoCV OÜ,Business software & HR,B2B,1,€ 4.9K,€ 24.4K,2016
 Traxby,Consumer products and services,"B2B, B2C",5,€ 4.8K,€ 40.2K,2013
 Gallerist,AdTech & Creative Tech,-,2,€ 4.7K,€ 17.3K,2014
 Myinnergo,"HealthTech, Life sciences & Wellness",-,2,€ 4.6K,€ 18.2K,2014
 SpeakTX,"HealthTech, Life sciences & Wellness","B2B, B2G",1,€ 4.6K,€ 9.2K,2022
 iMind,Communication,"B2B, B2G, B2B2C",2,€ 4.6K,€ 294.7K,2021
 Lyfery,FinTech,"B2C, B2B2C",1,€ 4.5K,-,2022
 Votemo,AdTech & Creative Tech,"B2B, B2B2C",2,€ 4.4K,€ 31.5K,2018
 FashLab,AdTech & Creative Tech,B2B2C,1,€ 4.4K,€ 373.5K,2016
 SOLVERHOOD,Business software & HR,B2B,1,€ 4.3K,€ 155.5K,2017
 Room.tv,"HealthTech, Life sciences & Wellness",B2B2C,1,€ 4.3K,€ 82K,2020
 KoFounder l KoTh...,EdTech,"B2B, B2C",2,€ 4.3K,€ 64K,2022
 Auto Coin Cars,FinTech,"B2B, B2B2C",3,€ 4.3K,-,2018
 Zerofy,CleanTech,B2C,1,€ 4.2K,€ 330.6K,2020
 Trackdeep.ai,SpaceTech,"B2B, B2G",3,€ 4.2K,€ 11K,2021
 DGTal.orbis,AdTech & Creative Tech,B2B,-,€ 4.2K,€ 480K,2019
 BaseTracK,Transportation & Logistics,B2B,1,€ 4.1K,€ 14.3K,2019
 Planlogi,Transportation & Logistics,-,2,€ 4.1K,€ 12.6K,2018
 Official IQ Test,"HealthTech, Life sciences & Wellness",B2C,2,€ 4.1K,€ 6.2K,2020
 PlantInvent,AgTech & FoodTech,B2C,2,€ 3.9K,€ 129,2016
 FitSphere,Consumer products and services,"B2B, B2G, B2C, B2B2C",2,€ 3.9K,€ 60.7K,2020
 SmartMicroPharma...,"HealthTech, Life sciences & Wellness",B2B2C,2,€ 3.9K,€ 23.2K,2017
 Monetiseur,AdTech & Creative Tech,"B2B, B2C",4,€ 3.8K,€ 385,2022
 Paul-Tech,AgTech & FoodTech,B2B,5,€ 3.8K,€ 54.8K,2019
 Ringy,Consumer products and services,"B2C, B2B2C",3,€ 3.8K,€ 191.9K,2020
 LainePoiss,CleanTech,B2B,3,€ 3.7K,€ 4.6K,2016
 QPage.one,Business software & HR,B2B,1,€ 3.6K,€ 20.2K,2020
 Kanvas.ai,Consumer products and services,"B2C, B2B2C",-,€ 3.6K,-,2020
 Crystalspace OÜ,SpaceTech,"B2B, B2B2C",3,€ 3.6K,€ 68.5K,2013
 VidiPost,AdTech & Creative Tech,"B2B, B2B2C",1,€ 3.6K,€ 22.7K,2019
 Meliora,CleanTech,"B2B, B2G, B2C, B2B2C",-,€ 3.6K,€ 226,2022
 Planyard,PropTech & Construction,B2B,2,€ 3.5K,€ 27.6K,2018
 EmailEngine,Communication,B2B,-,€ 3.5K,€ 5.9K,2020
 TheraSync,"HealthTech, Life sciences & Wellness","B2B, B2C",-,€ 3.5K,€ 7.1K,2021
 Einsteins Square,EdTech,B2B2C,2,€ 3.4K,€ 195.9K,2018
 Nevermatter OU,Gaming,B2B,-,€ 3.3K,€ 18K,2016
 TraCert OÜ,Business software & HR,B2B,1,€ 3.3K,€ 125.6K,2020
 BULAPROJEKTS,Communication,B2C,-,€ 3.3K,€ 447.4K,2020
 Ender Turing,Business software & HR,B2B,-,€ 3.3K,€ 81.4K,2018
 GoDiet,"HealthTech, Life sciences & Wellness","B2C, B2B2C",1,€ 3.3K,€ 726,2020
 Forestbook,AgTech & FoodTech,B2B,1,€ 3.3K,€ 48.5K,2018
 WIP (workinpeace...,Business software & HR,B2B,3,€ 3.3K,€ 51.8K,2018
 Vementis Group,"HealthTech, Life sciences & Wellness",B2B,2,€ 3.2K,€ 90.8K,2013
 Golbriak Space O...,SpaceTech,"B2B, B2G",-,€ 3.2K,€ 2.7K,2017
 FoxIoT,Advanced Manufacturing & Industry,"B2B, B2C, B2B2C",1,€ 3.2K,€ 76.5K,2020
 Gewodo,Business software & HR,B2B,-,€ 3.1K,€ 10.4K,2020
 Holocene Service...,Consumer products and services,B2B,1,€ 3.1K,€ 41.9K,2022
 Kinola,Business software & HR,B2B,1,€ 3.1K,€ 3.1K,2022
 Remotely,Communication,"B2B, B2C",-,€ 3K,€ 95K,2017
 Revorium,FinTech,B2B2C,3,€ 3K,€ 8.2K,2021
 Joyixir,Gaming,"B2C, B2B2C",3,€ 3K,€ 42.2K,2020
 Cottage Fund,FinTech,B2B,-,€ 3K,-,2022
 Fundwise,FinTech,"B2B, B2C",2,€ 2.9K,€ 19.3K,2014
 DATA CORPORATION...,Business software & HR,"B2B, B2G, B2B2C",2,€ 2.9K,-,2018
 Noise Machine,AdTech & Creative Tech,-,1,€ 2.9K,€ 2.8K,2017
 SOLINTEL,CleanTech,"B2B, B2G, B2C",1,€ 2.9K,-,2020
 WageCan,FinTech,"B2B, B2C",1,€ 2.9K,€ 3K,2016
 Magnetic IP OU,Consumer products and services,"B2B, B2C",-,€ 2.9K,€ 26.3K,2015
 enty,Business software & HR,"B2B, B2C",1,€ 2.9K,€ 101.2K,2020
 HappyMe,Business software & HR,B2B,3,€ 2.9K,€ 22.7K,2017
 TwogNation,Gaming,B2C,1,€ 2.8K,€ 127.5K,2017
 BugBox Ltd,AgTech & FoodTech,"B2B, B2C",1,€ 2.8K,€ 275,2015
 Veloxmobile OÜ,EdTech,B2C,6,€ 2.7K,€ 14.5K,2017
 TRIT,Business software & HR,"B2B, B2C, B2B2C",2,€ 2.7K,€ 16.1K,2018
 C-box,Transportation & Logistics,"B2B, B2C",2,€ 2.7K,€ 84,2021
 PocketPro,Consumer products and services,"B2B, C2C, B2C",1,€ 2.6K,€ 5.1K,2021
 Vetik OÜ,CleanTech,B2B,3,€ 2.6K,€ 9K,2017
 Naviteel OÜ,Consumer products and services,B2B,1,€ 2.6K,-,2021
 Trashify Tech,CleanTech,B2B,1,€ 2.6K,€ 58,2022
 WAPI,Transportation & Logistics,B2B,2,€ 2.5K,€ 1.3M,2019
 Quantem Analytic...,"HealthTech, Life sciences & Wellness",B2B,1,€ 2.5K,€ 31.8K,2019
 CarAssistance.co...,AdTech & Creative Tech,B2B2C,-,€ 2.5K,€ 84.8K,2020
 InstArc,Business software & HR,"B2B, B2C, B2B2C",1,€ 2.5K,-,2020
 Blockoville OÜ,FinTech,B2B,2,€ 2.5K,€ 5.9K,2018
 Zeew,Transportation & Logistics,B2B,2,€ 2.4K,€ 38.1K,2020
 Cofocus One,Consumer products and services,B2C,-,€ 2.4K,-,2019
 SmartSender,Communication,B2B,-,€ 2.4K,€ 170.8K,2017
 Lever ID,CyberTech,"B2B, B2C, B2B2C",-,€ 2.4K,-,2021
 Raison app,FinTech,B2C,2,€ 2.4K,€ 8.5K,2017
 Sama Sama studio...,Gaming,-,1,€ 2.3K,€ 8.4K,2015
 Virtonomics,Business software & HR,"B2B, B2C",-,€ 2.3K,€ 23.7K,2020
 BaBash,Consumer products and services,B2B2C,2,€ 2.3K,€ 8.5K,2018
 Rashidov,AgTech & FoodTech,"B2B, B2C",1,€ 2.3K,€ 59.4K,2019
 Challenger Solut...,CleanTech,B2B,1,€ 2.3K,€ 19.3K,2017
 Ethical SEO,Consumer products and services,B2B,1,€ 2.3K,€ 58.8K,2021
 RanchPal,AgTech & FoodTech,B2B,2,€ 2.3K,€ 14.2K,2021
 ContentGecko,AdTech & Creative Tech,B2B,2,€ 2.1K,€ 14.1K,2021
 Asisia,TravelTech,"B2B, B2B2C",-,€ 2.1K,-,2021
 Staffbranding,Business software & HR,"B2B, B2B2C",1,€ 2.1K,-,2017
 Salto,Communication,C2C,-,€ 2.1K,€ 410,2017
 Remosi Technolog...,Communication,"B2B, B2C",1,€ 2.1K,-,2019
 Just Build It,PropTech & Construction,B2B,-,€ 2.1K,€ 9.7K,2020
 Storadera,Communication,"B2B, B2B2B, B2G",-,€ 2K,€ 7.8K,2019
 Vastry,Consumer products and services,"B2B, B2B2C",-,€ 2K,-,2019
 MX Labs,"HealthTech, Life sciences & Wellness","B2B, B2B2C",-,€ 2K,€ 173.2K,2020
 Headtime OÜ,EdTech,B2C,2,€ 2K,-,2013
 MindChip,Transportation & Logistics,B2B,1,€ 2K,€ 164,2019
 Eurostep Digital,FinTech,B2B,2,€ 1.9K,€ 20.1K,2017
 Meetecka,TravelTech,"B2B, B2C",-,€ 1.9K,-,2022
 Codematics,Consumer products and services,"B2B, B2C",-,€ 1.9K,-,2021
 Neuromarketing t...,AdTech & Creative Tech,-,2,€ 1.9K,€ 55K,2018
 NT Studio,AdTech & Creative Tech,B2B2C,1,€ 1.8K,-,2021
 DEF,AdTech & Creative Tech,B2B,-,€ 1.8K,€ 17.3K,2021
 YeTa Games,Gaming,B2C,1,€ 1.8K,€ 13.7K,2020
 Endurae,EdTech,"B2B, B2G",-,€ 1.8K,€ 22.3K,2018
 WOF Labs,Gaming,B2B,-,€ 1.8K,€ 80.8K,2021
 CareMate,Consumer products and services,C2C,4,€ 1.8K,€ 8.7K,2017
 Profile Center,Business software & HR,"B2B, B2C, B2B2C",-,€ 1.7K,-,2018
 Payrow Europe,FinTech,"B2B, B2C, B2B2C",-,€ 1.7K,-,2022
 dillali,FinTech,"B2B, B2B2C",1,€ 1.7K,-,2020
 Sorry as a servi...,Business software & HR,-,1,€ 1.7K,€ 12.8K,2015
 Teremarket,Business software & HR,-,1,€ 1.7K,€ 309.5K,2013
 Capster,"HealthTech, Life sciences & Wellness",-,2,€ 1.7K,€ 27.6K,2014
 Smartswap,Consumer products and services,"B2B, C2C, B2C, B2B2C",3,€ 1.7K,€ 5.7K,2019
 gratico,Business software & HR,"B2B, B2C",1,€ 1.7K,€ 214,2020
 ScaleDrone,Business software & HR,-,1,€ 1.6K,€ 7.1K,2014
 Aufort,FinTech,"B2B, B2C, B2B2C",2,€ 1.6K,€ 1.4K,2014
 HiFace app,Business software & HR,"B2B, B2C",-,€ 1.6K,€ 10.6K,2022
 Bifrost Tug Esto...,Transportation & Logistics,-,1,€ 1.6K,-,2022
 Quantum Brain Re...,"HealthTech, Life sciences & Wellness","B2B, B2G, C2C, B2C, B2B2C",1,€ 1.6K,€ 5.1K,2021
 Craftbay OÜ,Consumer products and services,"C2C, B2C",-,€ 1.5K,-,2017
 Skills of Blocks,EdTech,"B2B, B2G, B2C",1,€ 1.5K,€ 9,2022
 WaardeX OÜ,AdTech & Creative Tech,"B2B, B2B2C",-,€ 1.5K,€ 1.3M,2017
 Pridegamesstudio,Gaming,B2C,1,€ 1.5K,€ 3.1K,2018
 Tyron,"HealthTech, Life sciences & Wellness","B2C, B2B2C",-,€ 1.5K,-,2020
 Work Quest,Business software & HR,"B2B, C2C, B2C, B2B2C",1,€ 1.5K,€ 1.9K,2019
 Glassity,CyberTech,B2B,3,€ 1.5K,€ 6.5K,2023
 Space Hub,Consumer products and services,"B2C, B2B2C",2,€ 1.5K,-,2020
 RohamRobotic,AgTech & FoodTech,"B2B, B2C",1,€ 1.4K,-,2021
 Cyber Boxer,CyberTech,"B2B, B2B2C",3,€ 1.4K,-,2019
 ORDIN,PropTech & Construction,"B2B, B2G",1,€ 1.4K,€ 2.4K,2019
 Paily,FinTech,"B2B, B2C",2,€ 1.4K,-,2013
 Wemply,Business software & HR,B2B,1,€ 1.4K,€ 92.3K,2017
 FructCode,EdTech,B2C,-,€ 1.4K,€ 22.1K,2021
 WUMLER,AdTech & Creative Tech,"B2B, B2C",2,€ 1.4K,-,2020
 YORSO,AgTech & FoodTech,B2B,1,€ 1.4K,€ 417.4K,2018
 makeitneutral,CleanTech,"B2B, B2C, B2B2C",-,€ 1.4K,€ 3.7K,2021
 Adeo imaging,Business software & HR,-,1,€ 1.3K,€ 2.2K,2014
 Oclassica,Consumer products and services,B2C,-,€ 1.3K,-,2020
 S I L E N T O,Consumer products and services,"B2C, B2B2C",2,€ 1.3K,€ 10.1K,2019
 Aeon Must Die! b...,Gaming,"B2B, B2C, B2B2C",-,€ 1.3K,€ 3.8K,2016
 DoConnect,Advanced Manufacturing & Industry,B2B,-,€ 1.3K,€ 16.3K,2021
 Miratag,Business software & HR,B2B,1,€ 1.3K,€ 77.4K,2014
 Haltura.ee,Business software & HR,"B2B, C2C, B2C, B2B2C",2,€ 1.3K,€ 6.3K,2018
 Yanu,Consumer products and services,"B2B, B2C",-,€ 1.3K,€ 27.9K,2018
 Vintagebazar,AdTech & Creative Tech,"C2C, B2C",3,€ 1.3K,€ 50.1K,2020
 Sinuab,Business software & HR,"B2B, B2C",1,€ 1.2K,€ 45.3K,2014
 SAYA,EdTech,B2C,1,€ 1.2K,€ 44.7K,2019
 WineFortune,FinTech,"B2B, C2C, B2B2C",2,€ 1.2K,€ 132.3K,2018
 Kalida Contract,Advanced Manufacturing & Industry,"B2B, B2B2C",1,€ 1.2K,€ 124.3K,2020
 Botgate AI,Consumer products and services,"B2B, B2C, B2B2C",-,€ 1.2K,€ 18.8K,2019
 Bitskout,Business software & HR,B2B,-,€ 1.2K,€ 74.7K,2020
 Callmidwife,"HealthTech, Life sciences & Wellness",-,6,€ 1.2K,-,2014
 Kõnekindlus,EdTech,"B2B, B2C",2,€ 1.2K,€ 18.3K,2020
 BHC Laboratory,CyberTech,-,1,€ 1.2K,€ 827,2012
 Grapherex,FinTech,"B2B, C2C, B2C",-,€ 1.2K,€ 13.2K,2019
 Targetta,AdTech & Creative Tech,-,-,€ 1.1K,€ 10.3K,2015
 EasyStyle,Business software & HR,"B2B, B2B2C",1,€ 1.1K,-,2021
 KOGNISOFT,"HealthTech, Life sciences & Wellness","B2B, B2C",-,€ 1.1K,-,2022
 TownChat,TravelTech,B2B2C,1,€ 1.1K,-,2020
 Vote Network,Consumer products and services,"B2G, C2C",1,€ 1.1K,-,2018
 Digitale.co,Business software & HR,B2C,-,€ 1.1K,€ 19.7K,2019
 HiStaff,Business software & HR,B2C,1,€ 1.1K,€ 20.3K,2021
 GreenLogistics.a...,Business software & HR,B2B,1,€ 1.1K,€ 81.3K,2020
 SpeakerGuru,EdTech,B2B,-,€ 1.1K,-,2019
 Plastteed,CleanTech,B2B2C,3,€ 1.1K,€ 50.2K,2019
 Welcome Center E...,Business software & HR,"B2B, B2C, B2B2C",-,€ 1.1K,-,2020
 ParamountDax,FinTech,B2C,-,€ 1K,€ 271.2K,2018
 FXFX Studios,Gaming,"B2C, B2B2C",1,€ 1K,-,2017
 MyFinancier,FinTech,"B2C, B2B2C",2,€ 1K,€ 4.8K,2017
 Moonable,FinTech,"B2B, B2G, C2C, B2C, B2B2C",1,€ 1K,€ 6.7K,2021
 Materjalivoog,CleanTech,-,-,€ 1K,€ 680,2015
 FindMotors,Transportation & Logistics,B2C,-,€ 907,€ 11.9K,2018
 stallion rocksho...,AdTech & Creative Tech,-,-,€ 879,€ 23.4K,2014
 Dilesy,EdTech,"B2C, B2B2C",1,€ 850,€ 8.4K,2013
 Surfzone,Consumer products and services,-,1,€ 840,€ 17.9K,2016
 Consorto,PropTech & Construction,"B2B, B2C, B2B2C",1,€ 840,€ 1.7K,2017
 Nobe Cars,Advanced Manufacturing & Industry,"B2B, B2G, C2C",-,€ 829,-,2017
 VanOnGo Eastern ...,Transportation & Logistics,"B2B, B2B2C",1,€ 826,€ 289.2K,2019
 Paytailor,FinTech,B2B,1,€ 812,€ 11.1K,2015
 Naine.fit,"HealthTech, Life sciences & Wellness",B2C,1,€ 812,-,2020
 FiFi Finance,FinTech,B2C,1,€ 806,€ 5K,2019
 Pageloot,AdTech & Creative Tech,B2B,1,€ 805,€ 42.6K,2019
 APL,AdTech & Creative Tech,"B2B, B2C, B2B2C",1,€ 805,€ 100,2017
 Complok,FinTech,B2B,1,€ 805,€ 2.4K,2020
 Weertu,Transportation & Logistics,B2B,2,€ 797,€ 31.2K,2020
 Rontar Group OU,AdTech & Creative Tech,-,-,€ 795,€ 28.1K,2015
 plugfree,CleanTech,"B2B, B2C",1,€ 788,€ 6.9K,2020
 Shopgram,Business software & HR,B2B,1,€ 783,€ 725,2020
 Transformative A...,"HealthTech, Life sciences & Wellness",-,-,€ 781,€ 48.3K,2017
 SPIC AND SPAN. H...,Consumer products and services,B2B2C,-,€ 775,€ 155.5K,2016
 HealthCode AI,"HealthTech, Life sciences & Wellness","B2B, B2G",2,€ 771,€ 8.3K,2018
 Friedegggames OU,Gaming,B2C,1,€ 764,€ 239.6K,2018
 Aerostat H2H,Business software & HR,B2B2C,1,€ 764,-,2020
 ÖkoMotion,Transportation & Logistics,"B2B, B2C",1,€ 719,-,2019
 Smartywak,Communication,B2B2C,-,€ 713,€ 36,2018
 CEMAS - Marketin...,AdTech & Creative Tech,B2B,1,€ 701,-,2019
 Venomite Studios,Gaming,B2C,-,€ 700,-,2016
 Speep,Consumer products and services,B2C,1,€ 699,-,2021
 Flowline,CleanTech,"B2B, B2G",1,€ 691,€ 9.5K,2019
 RateChain Soluti...,Transportation & Logistics,-,1,€ 683,€ 26.9K,2015
 Currynomics,FinTech,B2B2C,1,€ 680,€ 2.7K,2022
 GlyNeura,"HealthTech, Life sciences & Wellness",B2B,-,€ 665,-,2021
 DataCalculus,Business software & HR,B2B,1,€ 661,€ 49,2019
 Cryptografic,FinTech,B2B,2,€ 660,€ 631,2019
 Sutu,CleanTech,"B2B, B2C",1,€ 653,€ 9.2K,2018
 Price&Cost,FinTech,B2B,1,€ 647,€ 2.4K,2015
 Sentab,Consumer products and services,-,1,€ 647,€ 39,2013
 moduulo,Business software & HR,B2B,1,€ 647,€ 8.5K,2018
 Moliri Space Ene...,SpaceTech,"B2B, B2G",1,€ 645,-,2021
 OriginalMy Block...,CyberTech,"B2B, B2G",-,€ 636,-,2018
 Fastla,Transportation & Logistics,"B2B, B2C",1,€ 607,€ 10.3K,2018
 Azondo,FinTech,B2C,-,€ 596,-,2020
 KosherDev,AgTech & FoodTech,-,1,€ 588,€ 2.5K,2014
 Winery,Consumer products and services,B2B2C,1,€ 555,-,2019
 Hopitude.com,Business software & HR,B2B,1,€ 536,€ 2.6K,2016
 Wastefox,CleanTech,"B2G, B2C",-,€ 531,€ 19.2K,2017
 Skuuper,Business software & HR,"B2B, B2C",1,€ 531,-,2014
 hausECO,PropTech & Construction,"B2B, B2C",2,€ 525,€ 1K,2020
 Pagerr,Advanced Manufacturing & Industry,"B2B, B2G",1,€ 513,€ 53.9K,2019
 CrabSec,Consumer products and services,B2C,-,€ 508,€ 6.8K,2016
 Ari Care,CleanTech,"B2B, B2B2C",-,€ 501,€ 500,2021
 MARLEQ,Business software & HR,"B2B, B2G, B2C",1,€ 489,-,2021
 Steelmonitor,Business software & HR,B2B,1,€ 463,€ 39.5K,2020
 Maibax,EdTech,"B2B, B2C",-,€ 434,€ 103.3K,2019
 City Carrier,Transportation & Logistics,"B2B, B2C, B2B2C",1,€ 413,€ 87.7K,2015
 LearnWise,EdTech,"B2B, B2G",2,€ 386,€ 3.6K,2020
 Relabit,PropTech & Construction,B2B2C,1,€ 357,€ 2.6K,2019
 HOLOVARMED,EdTech,"B2G, B2B2C",-,€ 325,-,2021
 The Maiden,Gaming,B2C,1,€ 293,-,2019
 Tallinn2Europe E...,Consumer products and services,B2C,1,€ 286,€ 9.2K,2018
 SecuriNotion,CyberTech,B2B,-,€ 279,-,2018
 Captain Corrosio...,Consumer products and services,-,1,€ 246,€ 21.5K,2016
 Gigimot,"HealthTech, Life sciences & Wellness",B2B,-,€ 238,-,2020
 Arcmaze,Gaming,B2C,-,€ 225,-,2016
 FACT Industries,SpaceTech,B2B,2,€ 215,€ 51.2K,2017
 Mobinner,AdTech & Creative Tech,"B2B, B2C",1,€ 210,€ 21.7K,2017
 Contester,Communication,"B2B, B2B2C",1,€ 204,-,2020
 WasteLocker,CleanTech,"B2B, B2G",3,€ 201,€ 8.4K,2022
 Duuabl,Consumer products and services,"B2B, C2C, B2C",-,€ 164,€ 3.5K,2016
 Rosella Kunst,Consumer products and services,"B2B, B2C",9,€ 157,-,2018
 WebTotem,CyberTech,"B2B, B2G",-,€ 146,€ 252K,2017
 Iomob,Transportation & Logistics,"B2B, B2G",-,€ 102,€ 610.6K,2018
 BOOSTYS,Consumer products and services,B2B2C,-,€ 93,€ 2.4K,2018
 Unreal24 Solutio...,Gaming,B2C,8,€ 79,-,2017
 Pollymetrix,Business software & HR,"B2B, B2B2C",-,€ 59,€ 28.3K,2018
 Boardlee,Business software & HR,"B2B, B2C",1,€ 36,-,2020
 Niuhti,PropTech & Construction,B2B2C,-,€ 25,€ 15.7K,2016
 Neuroactive AI,Advanced Manufacturing & Industry,B2B,-,€ 24,€ 732,2016
 I Can Grab / Vah...,"HealthTech, Life sciences & Wellness",-,1,€ 14,€ 2K,2017
 AliNull,Consumer products and services,B2B,-,€ 11,-,2018
 Mercury Cash,FinTech,B2B2C,-,€ 6,-,2019
 Softbrik OU,Business software & HR,"B2B, B2B2C",-,€ 4,€ 3.6K,2018
 IMEPILT STUDIOS,Communication,B2B2C,-,€ 2,-,2017
 PocketHelper,Consumer products and services,"B2B, B2C, B2B2C",-,€ 0,-,2018
 REACHPEOPLE OÜ,AdTech & Creative Tech,B2B,-,€ 4,€ 72.3K,2016
 Tebo,EdTech,"B2B, C2C, B2C",1,-,-,2015
 Traffel.com,TravelTech,-,-,-,€ 31,2014
 Company: Ticketm...,AdTech & Creative Tech,-,-,-,-,2018
 3DC.io,EdTech,B2G,-,-,-,2015
 Frank.ai,AdTech & Creative Tech,B2B,1,-,-,2015
 Etnobird,Consumer products and services,B2B2C,-,-,-,2014
 Festivality,Consumer products and services,"B2B, B2B2C",2,-,-,2015
